상호명,사업자번호,소재지,일반창고면적(m²),냉동냉장창고면적(m²),창고면적(종합),관련법률,취급품목,위도,경도
B,1108105034,경기도 용인시 처인구 백암면 고안로51번길 136-14,10221,0,10221,물류시설법,"문구, 인형 등",37.1401341,127.412709
B,1108105034,"경기도 김포시 고촌읍 아라육로230번길 16, 김포헬로센터 지하1층",4895.3,0,4895.3,물류시설법,"방송셋탑, 휴대폰 등",37.598193,126.7811989
B,1108105034,충청남도 아산시 인주면 아산호로 23 ((주)타카즈코리아),11618,0,11618,물류시설법,엘리베이터 부품,36.8900424,126.9198684
B,1108105034,경기도 이천시 마장면 덕평로 816-38 (SLX물류센터),26655.4,3630,30285.4,물류시설법,"커피원두 및 식품 부자재, 매장운영 비품, 판매재 등",37.2308874,127.3679472
B,1108105034,경기도 광주시 도척면 도척로 401-88,7452.11,0,7452.11,물류시설법,택배,37.3129508,127.3416745
B,1108105034,경기도 이천시 대월면 대평로 131 (조달청이천물류기지),3888,0,3888,물류시설법,국군복지단 매점물품(생필품외),37.2249566,127.4903655
B,1108105034,"경상남도 양산시 물금읍 제방로 27-3, 1,2층",2397.61,9,2406.61,물류시설법,제약품,35.2930684,129.0102554
B,1108105034,"경기도 군포시 번영로 82, P동 (부곡동)",4099.75,363,4462.75,물류시설법,의약품,37.3297283,126.9354636
B,1108105034,인천광역시 중구 축항대로 100 (항동7가),1764.42,0,1764.42,물류시설법,두산 인프라코어 건설기계 비축엔진,37.455531,126.6078533
B,1108105034,세종특별자치시 부강면 부강외천로 340,3643.93,0,3643.93,물류시설법,기타,36.527306,127.4044497
B,1108105034,경상북도 포항시 남구 섬안로 59 (괴동동),13576,0,13576,물류시설법,"선재, 철강제품",35.997275,129.3654844
B,1108105034,경상남도 사천시 신항만1길 86 (향촌동),5945,0,5945,물류시설법,우드팰릿 등,34.9232782,128.0883467
B,2633600143,경상남도 진주시 이반성면 오봉산로 547,2572,0,2572,물류시설법,농산물,35.1578185,128.3165713
B,1108105034,"경상남도 양산시 물금읍 제방로 265, 양산ICD 4단지",5924,0,5924,물류시설법,택배물품,35.3011111,129.0127307
B,1108105034,"경상남도 양산시 물금읍 제방로 27-3, C동",11530.63,0,11530.63,물류시설법,택배물품,35.2930684,129.0102554
B,1108105034,전라남도 장성군 서삼면 물류로 335,7966.97,0,7966.97,물류시설법,타이어,35.3159082,126.7583858
B,1108105034,전라남도 장성군 서삼면 물류로 335,2529,0,2529,물류시설법,택배상풍(소화물),35.3159082,126.7583858
B,1108105034,경상북도 구미시 구미대로 261-9 (광평동),1868.58,0,1868.58,물류시설법,택배소화물,36.1103,128.3615631
