상호명,사업자번호,소재지,일반창고면적(m²),냉동냉장창고면적(m²),관련법률,취급품목,위도,경도
B,1108105034,경기도 이천시 마장면 덕평로 965,0,1322,물류시설법,아이스크림 원부재료 등,37.2443127,127.3608242
B,1108105034,경기도 용인시 처인구 백암면 덕평로 140,1331,3867,물류시설법,식품,37.180695,127.3750642
B,1108105034,강원특별자치도 강릉시 율곡로 3214 (죽헌동),950.11,660,물류시설법,공산품,37.7847972,128.8688249
B,1108105034,"경기도 용인시 처인구 백암면 죽양대로904번길 63, 1층",8831.5,0,물류시설법,"문구, 잡화",37.1488437,127.3896973
B,1108105034,경기도 안성시 대덕면 만세로 252,3946,0,물류시설법,자동차 부품,37.0359498,127.2230845
B,1108105034,경기도 안성시 양성면 양성로 376-106,5762,0,물류시설법,제과(과자류),37.0866069,127.2173607
B,3748500612,경기도 용인시 처인구 양지면 남평로 111-73,150012,0,물류시설법,"의류, 화장품 등",37.2301617,127.2951706
B,1108105034,경상남도 함안군 법수면 법수로 498,4244,0,물류시설법,생필품,35.3147466,128.3787383
B,1108105034,"경기도 화성시 동탄물류로 48, B동 1~B2층 (신동)",141444.63,63203.31,물류시설법,"식품, 의약품 등",37.1703977,127.1318428
B,1108105034,"경기도 광주시 초월읍 산수로 642-70, 초월물류단지",226846.3,0,물류시설법,택배,37.4141767,127.3131277
B,1108105034,"경기도 이천시 호법면 덕평로 472-96, (주)정안로지스 물류센터",12999,0,물류시설법,물류(의류),37.2059428,127.3919571
B,1108105034,경상북도 경산시 하양읍 지식산업2로1길 63,13569,8368,물류시설법,"음료및식품, 제약, 공산품,자동차부품",35.9431613,128.8220099
B,1108105034,충청북도 옥천군 이원면 건진2길 65,25564.23,0,물류시설법,택배수화물 등,36.2521777,127.6237662
B,1108105034,경기도 용인시 처인구 원삼면 죽양대로 1566,7504,0,물류시설법,"잡화, 서적, 의류",37.1809995,127.3389349
B,1108105034,경기도 용인시 처인구 백암면 원설로 606,10605.5,0,물류시설법,"생활가구, 생활용품",37.1428898,127.3975847
B,1108105034,경상북도 구미시 산호대로 264-16 (공단동),7059.66,0,물류시설법,자동차배터리,36.1012981,128.3838694
B,1108105034,경기도 용인시 처인구 백암면 고안로51번길 136-14,10221,0,물류시설법,"문구, 인형 등",37.1401341,127.412709
B,1108105034,"경기도 김포시 고촌읍 아라육로230번길 16, 김포헬로센터 지하1층",4895.3,0,물류시설법,"방송셋탑, 휴대폰 등",37.598193,126.7811989
B,1108105034,충청남도 아산시 인주면 아산호로 23 ((주)타카즈코리아),11618,0,물류시설법,엘리베이터 부품,36.8900424,126.9198684
B,1108105034,경기도 이천시 마장면 덕평로 816-38 (SLX물류센터),26655.4,3630,물류시설법,"커피원두 및 식품 부자재, 매장운영 비품, 판매재 등",37.2308874,127.3679472
B,1108105034,경기도 광주시 도척면 도척로 401-88,7452.11,0,물류시설법,택배,37.3129508,127.3416745
B,1108105034,경기도 이천시 대월면 대평로 131 (조달청이천물류기지),3888,0,물류시설법,국군복지단 매점물품(생필품외),37.2249566,127.4903655
B,1108105034,"경상남도 양산시 물금읍 제방로 27-3, 1,2층",2397.61,9,물류시설법,제약품,35.2930684,129.0102554
B,1108105034,"경기도 군포시 번영로 82, P동 (부곡동)",4099.75,363,물류시설법,의약품,37.3297283,126.9354636
B,1108105034,인천광역시 중구 축항대로 100 (항동7가),1764.42,0,물류시설법,두산 인프라코어 건설기계 비축엔진,37.455531,126.6078533
B,1108105034,세종특별자치시 부강면 부강외천로 340,3643.93,0,물류시설법,기타,36.527306,127.4044497
B,1108105034,경상북도 포항시 남구 섬안로 59 (괴동동),13576,0,물류시설법,"선재, 철강제품",35.997275,129.3654844
B,1108105034,경상남도 사천시 신항만1길 86 (향촌동),5945,0,물류시설법,우드팰릿 등,34.9232782,128.0883467
B,2633600143,경상남도 진주시 이반성면 오봉산로 547,2572,0,물류시설법,농산물,35.1578185,128.3165713
B,1108105034,"경상남도 양산시 물금읍 제방로 265, 양산ICD 4단지",5924,0,물류시설법,택배물품,35.3011111,129.0127307
B,1108105034,"경상남도 양산시 물금읍 제방로 27-3, C동",11530.63,0,물류시설법,택배물품,35.2930684,129.0102554
B,1108105034,전라남도 장성군 서삼면 물류로 335,7966.97,0,물류시설법,타이어,35.3159082,126.7583858
B,1108105034,전라남도 장성군 서삼면 물류로 335,2529,0,물류시설법,택배상풍(소화물),35.3159082,126.7583858
B,1108105034,경상북도 구미시 구미대로 261-9 (광평동),1868.58,0,물류시설법,택배소화물,36.1103,128.3615631
B,1108105034,경상남도 양산시 물금읍 제방로 27-6,7950,0,물류시설법,타이어,35.2930684,129.0102554
B,1108105034,경기도 고양시 일산동구 성현로 615 (사리현동),1172.16,0,물류시설법,택배,37.6949674,126.849573
B,1108105034,전북특별자치도 전주시 완산구 콩쥐팥쥐로 1705-124 (효자동3가),1229.25,0,물류시설법,택배터미널,35.8245566,127.0883907
B,1108105034,인천광역시 동구 보세로 74 (만석동),3752.06,0,물류시설법,건기자재,37.4871267,126.6148932
B,1108105034,경상남도 창원시 진해구 행암로92번안길 30 (장천동),3276,0,물류시설법,수출입화물 야적 및 수입소금등 창고보관,35.1300457,128.6977214
B,1108105034,충청남도 계룡시 두마면 사계로 206,16906.23,0,물류시설법,공산품,36.2595184,127.2770129
B,1108105034,전라남도 광양시 태인4길 33 (태인동),5987.62,0,물류시설법,코일 등,34.9430625,127.7618767
